created_at,entry_id,Nitrogen,Phosphorus,potassium,ph,EC,temprature
2025-02-28 10:23:48+04:00,1,41,58,116.0,700,581,27.6
2025-02-28 10:24:53+04:00,2,41,58,116.0,700,580,27.7
2025-02-28 10:25:12+04:00,3,41,58,116.0,700,581,27.7
2025-02-28 10:25:31+04:00,4,41,58,116.0,700,581,27.7
2025-02-28 10:25:50+04:00,5,41,58,116.0,700,581,27.7
2025-02-28 10:26:08+04:00,6,41,58,116.0,700,580,27.7
2025-02-28 10:26:27+04:00,7,41,58,116.0,700,581,27.7
2025-02-28 10:26:46+04:00,8,41,58,116.0,700,580,27.8
2025-02-28 10:27:05+04:00,9,41,58,116.0,700,581,27.8
2025-02-28 10:27:24+04:00,10,41,58,116.0,700,582,27.8
2025-02-28 10:27:42+04:00,11,41,58,116.0,700,582,27.8
2025-02-28 10:28:01+04:00,12,41,58,116.0,700,582,27.8
2025-02-28 10:28:20+04:00,13,41,58,116.0,700,581,27.9
2025-02-28 10:28:39+04:00,14,41,58,116.0,700,580,27.9
2025-02-28 10:28:58+04:00,15,41,58,116.0,700,582,28.0
2025-02-28 10:29:17+04:00,16,41,58,116.0,700,581,28.0
2025-02-28 10:29:35+04:00,17,41,58,116.0,700,580,28.1
2025-02-28 10:29:54+04:00,18,41,58,116.0,700,581,28.0
2025-02-28 10:30:13+04:00,19,41,58,116.0,700,580,28.1
2025-02-28 10:30:32+04:00,20,41,58,116.0,700,580,28.1
2025-02-28 10:30:51+04:00,21,41,58,116.0,700,581,28.1
2025-02-28 10:31:10+04:00,22,41,58,116.0,700,582,28.2
2025-02-28 10:31:29+04:00,23,41,58,116.0,700,581,28.2
2025-02-28 10:31:48+04:00,24,41,58,116.0,700,582,28.2
2025-02-28 10:32:07+04:00,25,41,58,116.0,700,582,28.3
2025-02-28 10:32:26+04:00,26,41,58,116.0,700,581,28.3
2025-02-28 10:32:45+04:00,27,41,58,116.0,700,581,28.3
2025-02-28 10:33:03+04:00,28,41,58,116.0,700,582,28.3
2025-02-28 10:33:22+04:00,29,41,58,116.0,700,581,28.4
2025-02-28 10:33:41+04:00,30,41,58,116.0,700,580,28.4
2025-02-28 10:34:00+04:00,31,41,58,116.0,700,582,28.4
2025-02-28 10:34:19+04:00,32,41,58,116.0,700,581,28.4
2025-02-28 10:34:38+04:00,33,41,58,116.0,700,580,28.4
2025-02-28 10:34:56+04:00,34,41,58,116.0,700,582,28.5
2025-02-28 10:35:15+04:00,35,41,58,116.0,700,582,28.5
2025-02-28 10:35:34+04:00,36,41,58,116.0,700,581,28.5
2025-02-28 10:35:53+04:00,37,41,58,116.0,700,581,28.5
2025-02-28 10:36:12+04:00,38,41,58,116.0,700,582,28.6
2025-02-28 10:36:31+04:00,39,41,58,116.0,700,581,28.6
2025-02-28 10:36:50+04:00,40,41,58,116.0,700,582,28.6
2025-02-28 10:37:08+04:00,41,41,58,116.0,700,581,28.6
2025-02-28 10:37:27+04:00,42,41,58,116.0,700,582,28.6
2025-02-28 10:37:46+04:00,43,41,58,116.0,700,582,28.7
2025-02-28 10:38:05+04:00,44,41,58,116.0,700,581,28.6
2025-02-28 10:38:24+04:00,45,41,58,116.0,700,581,28.7
2025-02-28 10:38:43+04:00,46,41,58,116.0,700,582,28.7
2025-02-28 10:39:01+04:00,47,41,58,116.0,700,579,28.7
2025-02-28 10:39:20+04:00,48,41,58,116.0,700,582,28.8
2025-02-28 10:39:39+04:00,49,41,58,116.0,700,582,28.8
2025-02-28 10:39:58+04:00,50,41,58,116.0,700,581,28.9
2025-02-28 10:40:17+04:00,51,41,58,116.0,700,581,28.9
2025-02-28 10:40:36+04:00,52,41,58,116.0,700,582,28.9
2025-02-28 10:40:54+04:00,53,41,58,116.0,700,582,29.0
2025-02-28 10:41:13+04:00,54,41,58,116.0,700,582,29.0
2025-02-28 10:41:32+04:00,55,41,58,116.0,700,581,29.1
2025-02-28 10:41:51+04:00,56,41,58,116.0,700,582,29.1
2025-02-28 10:42:10+04:00,57,41,58,116.0,700,583,29.1
2025-02-28 10:42:28+04:00,58,41,58,116.0,700,582,29.1
2025-02-28 10:42:47+04:00,59,41,58,116.0,700,581,29.1
2025-02-28 10:43:06+04:00,60,41,58,116.0,700,582,29.2
2025-02-28 10:43:25+04:00,61,41,58,116.0,700,581,29.2
2025-02-28 10:43:44+04:00,62,41,58,116.0,700,581,29.2
2025-02-28 10:44:03+04:00,63,41,58,116.0,700,583,29.3
2025-02-28 10:44:22+04:00,64,41,58,116.0,700,582,29.3
2025-02-28 10:44:41+04:00,65,41,58,116.0,700,583,29.3
2025-02-28 10:45:00+04:00,66,41,58,116.0,700,583,29.3
2025-02-28 10:45:18+04:00,67,41,58,116.0,700,582,29.3
2025-02-28 10:45:37+04:00,68,41,58,116.0,700,582,29.4
2025-02-28 10:45:56+04:00,69,41,58,116.0,700,582,29.4
2025-02-28 10:46:15+04:00,70,41,58,116.0,700,582,29.4
2025-02-28 10:46:34+04:00,71,41,58,116.0,700,583,29.4
2025-02-28 10:46:53+04:00,72,41,58,116.0,700,582,29.5
2025-02-28 10:47:12+04:00,73,41,58,116.0,700,582,29.5
2025-02-28 10:47:30+04:00,74,41,58,116.0,811,582,29.5
2025-02-28 10:47:50+04:00,75,41,58,116.0,865,582,29.4
2025-02-28 10:48:08+04:00,76,41,58,116.0,892,582,29.4
2025-02-28 10:48:27+04:00,77,41,58,116.0,879,583,29.5
2025-02-28 10:48:46+04:00,78,41,58,116.0,880,582,29.4
2025-02-28 10:49:05+04:00,79,41,58,116.0,876,582,29.4
2025-02-28 10:49:24+04:00,80,41,58,116.0,862,582,29.4
2025-02-28 10:49:43+04:00,81,41,58,116.0,868,583,29.4
2025-02-28 10:50:02+04:00,82,41,58,116.0,882,582,29.4
2025-02-28 10:50:21+04:00,83,41,58,116.0,871,583,29.4
2025-02-28 10:50:39+04:00,84,41,58,116.0,872,583,29.4
2025-02-28 10:50:58+04:00,85,41,58,116.0,871,582,29.4
2025-02-28 10:51:17+04:00,86,41,58,116.0,872,581,29.4
2025-02-28 10:51:36+04:00,87,41,58,116.0,866,582,29.4
2025-02-28 10:51:55+04:00,88,41,58,116.0,862,582,29.4
2025-02-28 10:52:13+04:00,89,41,58,116.0,868,583,29.4
2025-02-28 10:52:32+04:00,90,41,58,116.0,862,583,29.4
2025-02-28 10:52:51+04:00,91,41,58,116.0,862,583,29.4
2025-02-28 10:53:10+04:00,92,41,58,116.0,868,582,29.4
2025-02-28 10:53:29+04:00,93,41,58,116.0,874,583,29.4
2025-02-28 10:53:48+04:00,94,41,58,116.0,859,583,29.4
2025-02-28 10:54:07+04:00,95,41,58,116.0,868,584,29.4
2025-02-28 10:54:25+04:00,96,41,58,116.0,873,582,29.4
2025-02-28 10:54:44+04:00,97,41,58,116.0,870,582,29.4
2025-02-28 10:55:03+04:00,98,41,58,116.0,873,582,29.4
2025-02-28 10:55:22+04:00,99,41,58,116.0,869,582,29.4
2025-02-28 10:55:41+04:00,100,41,58,116.0,872,584,29.5
2025-02-28 10:56:00+04:00,101,41,58,116.0,868,583,29.5
2025-02-28 10:56:18+04:00,102,41,58,116.0,871,583,29.5
2025-02-28 10:56:37+04:00,103,41,58,116.0,869,583,29.5
2025-02-28 10:56:56+04:00,104,41,58,116.0,869,583,29.5
2025-02-28 10:57:15+04:00,105,41,58,116.0,864,583,29.5
2025-02-28 10:57:34+04:00,106,41,58,116.0,880,584,29.5
2025-02-28 10:57:53+04:00,107,41,58,116.0,896,583,29.6
2025-02-28 10:58:12+04:00,108,41,58,116.0,900,583,29.6
2025-02-28 10:58:31+04:00,109,41,58,116.0,900,583,29.6
2025-02-28 10:58:49+04:00,110,41,58,116.0,900,583,29.6
2025-02-28 10:59:08+04:00,111,41,58,116.0,900,584,29.6
2025-02-28 10:59:27+04:00,112,41,58,116.0,900,583,29.6
2025-02-28 10:59:46+04:00,113,41,58,116.0,900,582,29.6
2025-02-28 11:00:05+04:00,114,41,58,116.0,900,584,29.6
2025-02-28 11:00:24+04:00,115,41,58,116.0,900,584,29.7
2025-02-28 11:00:43+04:00,116,41,58,116.0,900,583,29.7
2025-02-28 11:01:02+04:00,117,41,58,116.0,900,583,29.7
2025-02-28 11:01:21+04:00,118,41,58,116.0,900,584,29.7
2025-02-28 11:01:40+04:00,119,41,58,116.0,900,584,29.8
2025-02-28 11:01:59+04:00,120,41,58,116.0,900,584,29.8
2025-02-28 11:02:18+04:00,121,41,58,116.0,900,583,29.7
2025-02-28 11:02:36+04:00,122,41,58,116.0,900,582,29.8
2025-02-28 11:02:55+04:00,123,41,58,116.0,900,583,29.8
2025-02-28 11:03:14+04:00,124,41,58,116.0,900,583,29.9
2025-02-28 11:03:33+04:00,125,41,58,116.0,900,583,29.9
2025-02-28 11:03:52+04:00,126,41,58,116.0,900,583,29.9
2025-02-28 11:04:11+04:00,127,41,58,116.0,900,583,29.9
2025-02-28 11:04:30+04:00,128,41,58,116.0,900,583,30.0
2025-02-28 11:04:49+04:00,129,41,58,116.0,900,582,30.0
2025-02-28 11:05:07+04:00,130,41,58,116.0,900,583,30.0
2025-02-28 11:05:26+04:00,131,41,58,116.0,900,584,30.0
2025-02-28 11:05:45+04:00,132,41,58,116.0,900,584,30.0
2025-02-28 11:06:04+04:00,133,41,58,116.0,900,584,29.9
2025-02-28 11:06:23+04:00,134,41,58,116.0,900,584,29.9
2025-02-28 11:06:42+04:00,135,41,58,116.0,900,584,29.9
2025-02-28 11:07:01+04:00,136,41,58,116.0,900,584,30.0
2025-02-28 11:07:20+04:00,137,41,58,116.0,900,584,30.0
2025-02-28 11:07:38+04:00,138,41,58,116.0,900,584,30.0
2025-02-28 11:07:57+04:00,139,41,58,116.0,900,584,30.0
2025-02-28 11:08:16+04:00,140,41,58,116.0,900,584,30.0
2025-02-28 11:08:35+04:00,141,41,58,117.0,900,583,30.1
2025-02-28 11:08:54+04:00,142,41,58,116.0,900,583,30.1
2025-02-28 11:09:13+04:00,143,41,58,116.0,900,584,30.0
2025-02-28 11:09:32+04:00,144,41,58,116.0,900,583,30.0
2025-02-28 11:09:51+04:00,145,41,58,116.0,900,584,30.1
2025-02-28 11:10:10+04:00,146,41,58,116.0,900,583,30.1
2025-02-28 11:10:29+04:00,147,41,58,116.0,900,584,30.1
2025-02-28 11:10:47+04:00,148,41,58,116.0,900,584,30.1
2025-02-28 11:11:06+04:00,149,41,58,116.0,900,582,30.1
2025-02-28 11:11:25+04:00,150,41,58,116.0,900,584,30.1
2025-02-28 11:11:44+04:00,151,41,58,116.0,900,584,30.1
2025-02-28 11:12:03+04:00,152,41,58,116.0,900,583,30.1
2025-02-28 11:12:22+04:00,153,41,58,116.0,900,583,30.1
2025-02-28 11:12:41+04:00,154,41,58,116.0,900,584,30.1
2025-02-28 11:13:00+04:00,155,41,58,116.0,900,584,30.1
2025-02-28 11:13:19+04:00,156,41,58,117.0,900,585,30.1
2025-02-28 11:13:38+04:00,157,41,58,116.0,900,585,30.1
2025-02-28 11:13:57+04:00,158,41,58,116.0,900,584,30.1
2025-02-28 11:14:15+04:00,159,41,58,116.0,900,584,30.1
2025-02-28 11:14:34+04:00,160,41,58,117.0,900,584,30.0
2025-02-28 11:14:53+04:00,161,41,58,116.0,900,584,30.0
2025-02-28 11:15:12+04:00,162,41,58,116.0,900,584,30.1
2025-02-28 11:15:31+04:00,163,41,58,116.0,900,584,30.0
2025-02-28 11:15:50+04:00,164,41,58,116.0,900,584,30.0
2025-02-28 11:16:09+04:00,165,41,58,116.0,900,584,30.0
2025-02-28 11:16:28+04:00,166,41,58,116.0,900,584,30.0
2025-02-28 11:16:47+04:00,167,41,58,116.0,900,584,30.0
2025-02-28 11:17:06+04:00,168,41,58,116.0,900,585,29.9
2025-02-28 11:17:24+04:00,169,41,58,117.0,900,585,29.9
2025-02-28 11:17:43+04:00,170,41,58,116.0,900,585,29.9
2025-02-28 11:18:02+04:00,171,41,58,116.0,900,585,29.9
2025-02-28 11:18:21+04:00,172,41,58,116.0,900,584,29.9
2025-02-28 11:18:41+04:00,173,41,58,117.0,900,585,29.9
2025-02-28 11:19:00+04:00,174,41,58,116.0,900,584,30.0
2025-02-28 11:19:18+04:00,175,41,58,116.0,900,584,30.0
2025-02-28 11:19:37+04:00,176,41,58,117.0,900,585,30.0
2025-02-28 11:19:56+04:00,177,41,58,117.0,900,585,30.0
2025-02-28 11:20:15+04:00,178,41,58,116.0,900,584,30.0
2025-02-28 11:20:34+04:00,179,41,58,116.0,900,585,30.1
2025-02-28 11:20:53+04:00,180,41,58,116.0,900,584,30.1
2025-02-28 11:21:12+04:00,181,41,58,116.0,900,585,30.1
2025-02-28 11:21:30+04:00,182,41,58,117.0,900,585,30.1
2025-02-28 11:21:49+04:00,183,41,58,117.0,900,585,30.1
2025-02-28 11:22:08+04:00,184,41,58,117.0,900,585,30.1
2025-02-28 11:22:27+04:00,185,41,58,117.0,900,584,30.1
2025-02-28 11:22:46+04:00,186,41,58,117.0,900,585,30.1
2025-02-28 11:23:05+04:00,187,41,58,117.0,900,584,30.2
2025-02-28 11:23:24+04:00,188,41,58,117.0,900,584,30.2
2025-02-28 11:23:43+04:00,189,41,58,117.0,900,585,30.2
2025-02-28 11:24:02+04:00,190,41,58,117.0,900,585,30.2
2025-02-28 11:24:21+04:00,191,41,58,117.0,900,585,30.2
2025-02-28 11:24:40+04:00,192,41,58,117.0,900,585,30.3
2025-02-28 11:24:59+04:00,193,41,58,116.0,900,585,30.3
2025-02-28 11:25:18+04:00,194,41,58,117.0,900,585,30.3
2025-02-28 11:25:37+04:00,195,41,58,117.0,900,584,30.3
2025-02-28 11:25:55+04:00,196,41,58,116.0,900,585,30.3
2025-02-28 11:26:15+04:00,197,41,58,116.0,900,584,30.3
2025-02-28 11:26:34+04:00,198,41,58,116.0,900,584,30.4
